id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,host_listing_count,availability_365
2172023,11080432,Jeanine,Manhattan,Hell's Kitchen,40.76089805,-73.9920228,Entire home/apt,180,1,13,11/15/14,1.2,1,365
3421582,17246883,Tatiana,Manhattan,Chinatown,40.71437774,-73.98935002,Entire home/apt,175,1,0,,,1,165
3220610,4422313,Kacey,Brooklyn,Greenpoint,40.72825406,-73.94705003,Private room,80,1,2,8/27/14,0.3,1,281
2242066,2097004,Nobu,Queens,The Rockaways,40.59418995,-73.79290839,Entire home/apt,67,1,4,7/22/14,0.5,2,150
2558344,2596736,Barry,Manhattan,West Village,40.73437756,-73.99938969,Private room,125,4,0,,,1,337
4709399,23741960,Sarah & Akmal,Brooklyn,Brighton Beach,40.57990904,-73.95943691,Entire home/apt,100,1,1,12/21/14,1,1,306
4393397,2425391,Tomi & Jacob,Manhattan,Harlem,40.81492842,-73.95171815,Entire home/apt,200,2,1,11/28/14,0.9,2,362
4670121,2834182,John,Manhattan,Soho,40.72458538,-74.00317654,Entire home/apt,293,7,1,12/7/14,1,7,268
854523,4463149,Jade,Manhattan,Harlem,40.81659597,-73.95853298,Private room,150,1,1,1/5/13,0,1,365
264755,1388879,Tj,Manhattan,Harlem,40.80479738,-73.9469706,Private room,36,6,24,1/17/14,0.6,6,0
1728437,8792814,Caroline,Brooklyn,Lefferts Garden,40.66181779,-73.95338167,Private room,50,2,1,4/13/14,0.1,3,320
1313340,7136700,Michelle,Brooklyn,Crown Heights,40.67782092,-73.95385836,Private room,65,3,5,9/20/14,0.6,3,345
273508,652642,John,Manhattan,Midtown East,40.75109122,-73.97118997,Shared room,70,2,10,11/7/14,0.3,25,365
4334886,22011486,Fran Christina,Manhattan,East Harlem,40.79803923,-73.9311048,Private room,65,2,0,,,2,360
730342,3628879,Natasha,Manhattan,Financial District,40.70309961,-74.00986011,Entire home/apt,200,5,17,12/7/14,2.5,1,338
4065931,14684764,Kyle,Brooklyn,Bushwick,40.70048389,-73.92157778,Private room,55,7,1,9/22/14,0.3,2,335
4524694,23456253,Ilya,Manhattan,Financial District,40.70678477,-74.01138527,Entire home/apt,320,1,2,12/26/14,2,1,355
3541689,17827613,Vance,Manhattan,Financial District,40.70667862,-74.01002372,Entire home/apt,400,1,1,7/15/14,0.2,1,151
658112,3317706,Nel,Manhattan,Washington Heights,40.83905336,-73.94772752,Private room,70,1,1,11/1/12,0,1,275
4524751,3471795,Maren,Manhattan,Tribeca,40.72282941,-74.01001153,Entire home/apt,199,3,0,,,1,25
599336,2964953,Kyle And Kelsey,Manhattan,Washington Heights,40.84455781,-73.93320584,Private room,50,3,14,11/23/14,1.3,1,333
3672793,18642653,Ian,Queens,Forest Hills,40.71035569,-73.85325371,Private room,59,1,0,,,1,252
2558713,10520522,Nancye,Brooklyn,Bedford-Stuyvesant,40.68036756,-73.95366417,Private room,110,3,0,,,2,365
1910090,5207709,Andrea,Manhattan,Financial District,40.70549667,-74.01022127,Entire home/apt,325,1,0,,,1,363
3279619,5749899,Obora & Michael,Manhattan,Harlem,40.80512375,-73.94848276,Entire home/apt,295,4,14,12/22/14,2.6,3,323
789274,4159089,Boris,Manhattan,Midtown East,40.75325718,-73.97378007,Entire home/apt,169,5,34,12/10/14,1.4,1,321
927075,4988480,Paul,Manhattan,West Village,40.7289974,-74.00371188,Entire home/apt,600,2,4,10/17/13,0.2,1,365
4597107,23828476,Rosario,Manhattan,Hamilton Heights,40.82250562,-73.95267159,Entire home/apt,160,1,0,,,1,365
1444669,4112404,Vero,Manhattan,Hell's Kitchen,40.76412014,-73.99080629,Entire home/apt,265,7,6,9/7/14,0.4,10,206
1189241,4963604,Alix,Manhattan,West Village,40.73387629,-74.0094267,Entire home/apt,199,3,17,12/14/14,0.9,2,306
4787010,24677080,Patrick,Manhattan,Kips Bay,40.74299193,-73.97885705,Private room,80,4,0,,,1,0
723788,497672,Charlie,Manhattan,Harlem,40.80503719,-73.94965464,Entire home/apt,135,1,51,12/3/14,2.6,4,345
4262738,9243259,Mia,Manhattan,East Harlem,40.79886158,-73.94029665,Private room,55,1,1,10/26/14,0.4,5,361
4787040,23226713,Elizabeth,Manhattan,Harlem,40.81295681,-73.9518042,Private room,84,3,0,,,4,365
1254815,990072,Christopher,Manhattan,Morningside Heights,40.80500062,-73.9648868,Entire home/apt,130,2,7,11/30/14,0.9,1,181
2043060,1499286,Andrey,Manhattan,Midtown,40.76325868,-73.98164542,Entire home/apt,295,2,11,11/5/14,0.9,1,364
4282178,21641206,Veronica,Brooklyn,Bedford-Stuyvesant,40.69723674,-73.94914285,Private room,70,1,3,11/16/14,1.1,4,330
99913,506419,Emmanuel Paul,Manhattan,East Harlem,40.7906107,-73.94558199,Private room,115,3,5,10/19/14,0.1,1,365
2296734,11730402,Adrienne,Manhattan,West Village,40.73103776,-74.00450117,Entire home/apt,1000,1,0,,,1,313
4531644,13375863,Emmet,Brooklyn,Bushwick,40.68831053,-73.914132,Private room,38,1,0,,,2,364
4275729,22198017,Ezra,Brooklyn,Bushwick,40.69340835,-73.92266294,Private room,50,15,0,,,1,62
1910210,9912462,Andre,Manhattan,East Harlem,40.80094113,-73.93691685,Entire home/apt,159,3,5,10/25/14,0.4,1,81
4400580,22839042,Tomer,Manhattan,Gramercy Park,40.73782728,-73.98391125,Private room,150,3,0,,,1,46
265145,1390947,Akiko,Manhattan,Times Square/Theatre District,40.76216859,-73.98411334,Entire home/apt,200,5,7,1/3/14,0.2,1,42
4335047,2698515,Chandler & Jacki,Manhattan,Financial District,40.70986102,-74.00731025,Entire home/apt,250,3,4,12/11/14,2.3,2,293
4662749,2958784,Jean-Louis,Manhattan,Hell's Kitchen,40.76598881,-73.98924762,Entire home/apt,150,7,0,,,1,6
3476729,4470342,Drew,Manhattan,Hell's Kitchen,40.7627505,-73.98933502,Entire home/apt,200,3,1,9/21/14,0.3,1,248
4532877,879707,Kyle,Manhattan,Financial District,40.70806323,-74.01198331,Entire home/apt,196,7,0,,,1,310
1844705,9637768,Reginald,Brooklyn,Downtown Brooklyn,40.69153904,-73.99099884,Private room,100,1,12,12/8/14,1.3,1,364
2176446,11100730,Emerson,Brooklyn,Bushwick,40.69854538,-73.93836706,Entire home/apt,400,1,0,,,1,334
3083249,3899655,Miroslav,Manhattan,East Village,40.72991542,-73.98939271,Private room,115,2,22,12/6/14,3.1,1,36
3352053,16913963,Stuart,Brooklyn,Bushwick,40.6929872,-73.90696187,Private room,70,1,0,,,1,173
4083467,21179388,Daryle,Brooklyn,Fort Greene,40.69095555,-73.97227621,Entire home/apt,250,3,0,,,1,88
1189378,867249,Norwin,Manhattan,Tribeca,40.71975844,-74.00570703,Entire home/apt,325,2,19,12/9/14,1.1,1,363
